,hike_name,region,length,elevation gain,rating,number_votes,features,which_pass,lat,long,numReports,url
682,Semiahmoo Spit Trail,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,3,http://www.wta.org/go-hiking/hikes/semiahmoo-spit-trail
683,Silesia Creek,North Cascades,NR,NR,3.60 out of 5,(5 votes) Log in to rate,[],NR,NR,NR,3,http://www.wta.org/go-hiking/hikes/silesia-creek
684,Silver Gulch Trail,North Cascades,NR,NR,1.00 out of 5,(2 votes) Log in to rate,[],NR,48.0784,-121.5671,2,http://www.wta.org/go-hiking/hikes/silver-gulch-trail
685,Shangri La,Issaquah Alps,NR,NR,3.86 out of 5,(7 votes) Log in to rate,[],NR,47.5409,-122.0964,60,http://www.wta.org/go-hiking/hikes/shangri-la
686,Scatter Lake,North Cascades,NR,NR,4.00 out of 5,(4 votes) Log in to rate,[],NR,48.4348,-120.5201,22,http://www.wta.org/go-hiking/hikes/scatter-lake
687,River Meadows Park,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.1797,-122.0837,4,http://www.wta.org/go-hiking/hikes/river-meadows-park
688,Round Mountain,Central Cascades,NR,NR,3.33 out of 5,(6 votes) Log in to rate,[],NR,46.6362,-121.3027,37,http://www.wta.org/go-hiking/hikes/round-mountain-1
689,Rowena Plateau and Tom McCall Point,Southwest Washington,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,45.6828,-121.3005,9,http://www.wta.org/go-hiking/hikes/rowena-plateau
690,Sage Hills,Central Washington,NR,NR,2.86 out of 5,(7 votes) Log in to rate,[],NR,47.4293,-120.3684,14,http://www.wta.org/go-hiking/hikes/sage-hills
691,Sa Teekh Wa Trail,North Cascades,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,48.4802,-120.1855,3,http://www.wta.org/go-hiking/hikes/sa-teekh-wa-trail
692,Saddle Rock,Central Washington,NR,NR,3.43 out of 5,(7 votes) Log in to rate,[],NR,47.3968,-120.3295,20,http://www.wta.org/go-hiking/hikes/saddle-rock
693,Rock Creek Falls,Snoqualmie Region,NR,NR,4.00 out of 5,(4 votes) Log in to rate,[],NR,47.5174,-121.4542,3,http://www.wta.org/go-hiking/hikes/rock-creek-falls
694,Sams Walker Nature Trail,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.6152,-122.0534,2,http://www.wta.org/go-hiking/hikes/sams-walker-nature-trail
695,Rock Mountain via Snowy Creek,Central Cascades,NR,NR,4.00 out of 5,(4 votes) Log in to rate,[],NR,47.8098,-120.9949,54,http://www.wta.org/go-hiking/hikes/rock-mountain-1531-via-snowy-creek
696,Sawtooth Ridge,Eastern Washington,NR,NR,2.50 out of 5,(2 votes) Log in to rate,[],NR,46.0618,-117.8441,3,http://www.wta.org/go-hiking/hikes/sawtooth-ridge-blue-mtns
697,Sauer's Mountain,Central Cascades,NR,NR,3.86 out of 5,(7 votes) Log in to rate,[],NR,47.5883,-120.5990,62,http://www.wta.org/go-hiking/hikes/sauer-mountain
698,Ryan Lake,South Cascades,NR,NR,3.20 out of 5,(5 votes) Log in to rate,[],NR,46.3518,-122.0637,3,http://www.wta.org/go-hiking/hikes/ryan-lake
699,Ring Hill Forest,Issaquah Alps,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.7501,-122.0337,4,http://www.wta.org/go-hiking/hikes/ring-hill-forest
700,Ruby Mountain,North Cascades,NR,NR,2.50 out of 5,(4 votes) Log in to rate,[],NR,48.7176,-121.0741,22,http://www.wta.org/go-hiking/hikes/ruby-mountain
701,Salmo - Priest Loop,Eastern Washington,NR,NR,3.25 out of 5,(8 votes) Log in to rate,[],NR,48.9586,-117.0775,26,http://www.wta.org/go-hiking/hikes/salmo-priest-loop
702,Rock Mountain via Rock Lake,Central Cascades,NR,NR,2.78 out of 5,(9 votes) Log in to rate,[],NR,47.7757,-120.9581,95,http://www.wta.org/go-hiking/hikes/rock-mountain
703,Robinson Pass Cutoff,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,3,http://www.wta.org/go-hiking/hikes/robinson-pass-cutoff-478a
704,Sauk Mountain,North Cascades,NR,NR,4.12 out of 5,(25 votes) Log in to rate,[],NR,48.5213,-121.6071,267,http://www.wta.org/go-hiking/hikes/sauk-mountain
705,Deer and Sand Lake,South Cascades,NR,NR,2.62 out of 5,(8 votes) Log in to rate,[],NR,46.6447,-121.3823,35,http://www.wta.org/go-hiking/hikes/sand-lake
706,Saltese Uplands,Eastern Washington,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,47.6422,-117.1263,14,http://www.wta.org/go-hiking/hikes/saltese-uplands
707,Rock Creek,Snoqualmie Region,NR,NR,4.50 out of 5,(4 votes) Log in to rate,[],NR,47.5163,-121.4523,22,http://www.wta.org/go-hiking/hikes/rock-creek-2
708,Tuck and Robin Lakes,Snoqualmie Region,NR,NR,4.12 out of 5,(16 votes) Log in to rate,[],NR,47.5443,-121.0970,175,http://www.wta.org/go-hiking/hikes/robin-lakes
709,Robinson Canyon - Ainsley Canyon,Central Washington,NR,NR,3.17 out of 5,(6 votes) Log in to rate,[],NR,47.0142,-120.7054,38,http://www.wta.org/go-hiking/hikes/robinson-canyon-ainsley-canyon
710,Rock Mountain,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/rock-mountain-1
711,Cascade Pass and Sahale Arm,North Cascades,NR,NR,4.05 out of 5,(37 votes) Log in to rate,[],NR,48.4755,-121.0750,243,http://www.wta.org/go-hiking/hikes/sahale-arm
712,Roaring Ridge Snowshoe via Road 9070,Snoqualmie Region,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.3885,-121.3971,3,http://www.wta.org/go-hiking/hikes/roaring-ridge-snowshoe-via-road-9070
713,Capitol State Forest - Rock Candy Mountain,Olympic Peninsula,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.0058,-123.1117,14,http://www.wta.org/go-hiking/hikes/rock-candy-mountain
714,Ryan Cabin,Eastern Washington,NR,NR,4.33 out of 5,(3 votes) Log in to rate,[],NR,48.7612,-118.4349,2,http://www.wta.org/go-hiking/hikes/ryan-cabin
715,Wetlands Trail,Issaquah Alps,NR,NR,4.20 out of 5,(5 votes) Log in to rate,[],NR,47.5270,-122.0123,5,http://www.wta.org/go-hiking/hikes/round-lake-wetland
716,Rainbow Canyon,Olympic Peninsula,NR,NR,2.25 out of 5,(4 votes) Log in to rate,[],NR,47.8219,-122.8834,4,http://www.wta.org/go-hiking/hikes/rainbow-canyon
717,Red Mountain Snowshoe,Snoqualmie Region,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.4028,-121.1111,5,http://www.wta.org/go-hiking/hikes/red-mountain-2
718,Rachel Lake,Snoqualmie Region,NR,NR,3.92 out of 5,(51 votes) Log in to rate,[],NR,47.4012,-121.2848,535,http://www.wta.org/go-hiking/hikes/rachel-lake
719,Red Cedars,Issaquah Alps,NR,NR,2.50 out of 5,(2 votes) Log in to rate,[],NR,47.5429,-122.0802,6,http://www.wta.org/go-hiking/hikes/red-cedars
720,Red Mountain (Commonwealth Basin),Snoqualmie Region,NR,NR,3.57 out of 5,(7 votes) Log in to rate,[],NR,47.4474,-121.3827,97,http://www.wta.org/go-hiking/hikes/red-mountain-1
721,Rim Trail,South Cascades,NR,NR,3.00 out of 5,(2 votes) Log in to rate,[],NR,45.8813,-121.9865,1,http://www.wta.org/go-hiking/hikes/rim-trail-202
722,Raptor Ridge Trail,Puget Sound and Islands,NR,NR,3.33 out of 5,(3 votes) Log in to rate,[],NR,48.6999,-122.4897,37,http://www.wta.org/go-hiking/hikes/raptor-ridge-chuckanut-mountain
723,Rainbow Creek Trail,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.3378,-120.6941,8,http://www.wta.org/go-hiking/hikes/rainbow-creek-trail
724,Rampart Ridge Loop,Mount Rainier Area,NR,NR,3.08 out of 5,(13 votes) Log in to rate,[],NR,46.7497,-121.8107,155,http://www.wta.org/go-hiking/hikes/rampart-ridge-loop
725,Rainbow Lake,North Cascades,NR,NR,2.75 out of 5,(4 votes) Log in to rate,[],NR,48.5076,-120.7310,9,http://www.wta.org/go-hiking/hikes/rainbow-lake
726,Rattlesnake Trail,Eastern Washington,NR,NR,3.43 out of 5,(7 votes) Log in to rate,[],NR,46.2043,-117.7058,10,http://www.wta.org/go-hiking/hikes/rattlesnake-trail
727,Mount Spokane State Park - Quartz Mountain,Eastern Washington,NR,NR,3.83 out of 5,(6 votes) Log in to rate,[],NR,47.8851,-117.0833,6,http://www.wta.org/go-hiking/hikes/quartz-mountain-1
728,Railroad Grade,North Cascades,NR,NR,3.81 out of 5,(16 votes) Log in to rate,[],NR,48.7061,-121.8096,140,http://www.wta.org/go-hiking/hikes/railroad-grade
729,Narada Falls to Reflection Lakes,Mount Rainier Area,NR,NR,3.00 out of 5,(10 votes) Log in to rate,[],NR,46.7753,-121.7466,76,http://www.wta.org/go-hiking/hikes/reflection-lakes
730,Red Top Lookout,Snoqualmie Region,NR,NR,3.29 out of 5,(17 votes) Log in to rate,[],NR,47.2970,-120.7596,77,http://www.wta.org/go-hiking/hikes/red-top-lookout
731,Redmond Watershed Preserve,Issaquah Alps,NR,NR,3.00 out of 5,(2 votes) Log in to rate,[],NR,47.6968,-122.0515,46,http://www.wta.org/go-hiking/hikes/redmond-watershed-preserve
732,Quinault River-Pony Bridge-Enchanted Valley,Olympic Peninsula,NR,NR,3.67 out of 5,(9 votes) Log in to rate,[],NR,47.5728,-123.5698,71,http://www.wta.org/go-hiking/hikes/quinault-river
733,Red Pass,Snoqualmie Region,NR,NR,3.40 out of 5,(5 votes) Log in to rate,[],NR,47.4290,-121.4147,40,http://www.wta.org/go-hiking/hikes/red-pass
734,Island Lake - Rainbow Lake,Snoqualmie Region,NR,NR,3.62 out of 5,(8 votes) Log in to rate,[],NR,47.3979,-121.4866,170,http://www.wta.org/go-hiking/hikes/rainbow-lake-1
735,Rainy Lake,North Cascades,NR,NR,3.00 out of 5,(5 votes) Log in to rate,[],NR,48.5150,-120.7355,38,http://www.wta.org/go-hiking/hikes/rainy-lake
736,Rampart Ridge - Rampart Lakes,Snoqualmie Region,NR,NR,3.73 out of 5,(15 votes) Log in to rate,[],NR,47.3980,-121.2843,228,http://www.wta.org/go-hiking/hikes/rampart-ridge-1
737,Red Mountain via Money Creek Road,Central Cascades,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,NR,NR,2,http://www.wta.org/go-hiking/hikes/red-moutain-5576-money-creek
738,Ridley Creek,North Cascades,NR,NR,3.25 out of 5,(4 votes) Log in to rate,[],NR,48.7071,-121.8126,27,http://www.wta.org/go-hiking/hikes/ridley-creek
739,Rasar State Park,North Cascades,NR,NR,3.60 out of 5,(5 votes) Log in to rate,[],NR,48.5167,-121.9059,21,http://www.wta.org/go-hiking/hikes/rasar-state-park
740,Rainbow Loop,Central Cascades,NR,NR,3.50 out of 5,(4 votes) Log in to rate,[],NR,48.3379,-120.6941,9,http://www.wta.org/go-hiking/hikes/rainbow-loop
741,Rainbow Falls State Park,Southwest Washington,NR,NR,2.67 out of 5,(6 votes) Log in to rate,[],NR,46.6302,-123.2319,11,http://www.wta.org/go-hiking/hikes/rainbow-falls-state-park
742,Blazer Lake,Snoqualmie Region,NR,NR,4.50 out of 5,(2 votes) Log in to rate,[],NR,NR,NR,5,http://www.wta.org/go-hiking/hikes/rainbow-blazer-lakes
743,Rattlesnake Slope Wildlife Area,Central Washington,NR,NR,3.40 out of 5,(5 votes) Log in to rate,[],NR,46.3479,-119.4708,6,http://www.wta.org/go-hiking/hikes/rattlesnake-slope-wildlife-area
744,Red Mountain Lookout,South Cascades,NR,NR,3.50 out of 5,(2 votes) Log in to rate,[],NR,45.9085,-121.8113,6,http://www.wta.org/go-hiking/hikes/red-mountain-lookout
745,Quartz Creek,Central Cascades,NR,NR,2.40 out of 5,(5 votes) Log in to rate,[],NR,47.9245,-121.2839,62,http://www.wta.org/go-hiking/hikes/quartz-creek-1
746,Potters Pond Fishing and Observation Platform,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4269,-117.6709,0,http://www.wta.org/go-hiking/hikes/potters-pond-fishing-and-observation-platform
747,Poo Top,Issaquah Alps,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,47.5230,-122.0270,34,http://www.wta.org/go-hiking/hikes/poo-top
748,Point Whitehorn,Puget Sound and Islands,NR,NR,3.00 out of 5,(2 votes) Log in to rate,[],NR,48.8872,-122.7795,11,http://www.wta.org/go-hiking/hikes/point-whitehorn
749,Preston Trail,Issaquah Alps,NR,NR,3.00 out of 5,(3 votes) Log in to rate,[],NR,47.5304,-121.9436,67,http://www.wta.org/go-hiking/hikes/preston-trail
750,Pyramid Lake,North Cascades,NR,NR,3.43 out of 5,(7 votes) Log in to rate,[],NR,48.7098,-121.1452,28,http://www.wta.org/go-hiking/hikes/pyramid-lake
751,Poe Mountain,Central Cascades,NR,NR,3.50 out of 5,(6 votes) Log in to rate,[],NR,47.9183,-121.0874,29,http://www.wta.org/go-hiking/hikes/poe-mountain
752,Capitol State Forest - Porter Falls,Olympic Peninsula,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,46.9714,-123.2744,28,http://www.wta.org/go-hiking/hikes/porter-falls
753,Preston Railroad Grade,Issaquah Alps,NR,NR,2.50 out of 5,(4 votes) Log in to rate,[],NR,47.4988,-121.9255,19,http://www.wta.org/go-hiking/hikes/preston-railroad-grade
754,Pipestone Canyon Rim Trail,North Cascades,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,48.4297,-120.0612,10,http://www.wta.org/go-hiking/hikes/pipestone-canyon-rim-trail
755,Pinnacle Saddle,Mount Rainier Area,NR,NR,4.21 out of 5,(14 votes) Log in to rate,[],NR,46.7683,-121.7314,106,http://www.wta.org/go-hiking/hikes/pinnacle-saddle
756,Potholes Wildlife Area,Central Washington,NR,NR,3.00 out of 5,(4 votes) Log in to rate,[],NR,46.9709,-119.3486,9,http://www.wta.org/go-hiking/hikes/potholes-wildlife-area
757,Ptarmigan Ridge,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.7507,-120.2055,1,http://www.wta.org/go-hiking/hikes/ptarmigan-ridge-abandoned-trail
758,Puget Power,Issaquah Alps,NR,NR,2.75 out of 5,(4 votes) Log in to rate,[],NR,47.5298,-122.0231,12,http://www.wta.org/go-hiking/hikes/puget-power
759,Pretzel Tree Trail,Issaquah Alps,NR,NR,3.33 out of 5,(6 votes) Log in to rate,[],NR,47.4808,-122.0554,13,http://www.wta.org/go-hiking/hikes/pretzel-tree-trail
760,Pompey Peak,South Cascades,NR,NR,4.33 out of 5,(3 votes) Log in to rate,[],NR,46.4998,-121.7832,9,http://www.wta.org/go-hiking/hikes/pompey-peak
761,"Putney Woods, Saratoga Woods and Metcalf Trail System",Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.0427,-122.4628,6,http://www.wta.org/go-hiking/hikes/putney-woods
762,Pratt Lake Basin,Snoqualmie Region,NR,NR,3.71 out of 5,(14 votes) Log in to rate,[],NR,47.3979,-121.4860,340,http://www.wta.org/go-hiking/hikes/pratt-lake
763,Pinnacle Lake,North Cascades,NR,NR,3.00 out of 5,(8 votes) Log in to rate,[],NR,48.0587,-121.7360,152,http://www.wta.org/go-hiking/hikes/pinnacle-lake
764,Port Susan Bay Preserve,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.2083,-122.3654,3,http://www.wta.org/go-hiking/hikes/port-susan-bay-preserve
765,Purple Pass,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.3261,-120.6793,10,http://www.wta.org/go-hiking/hikes/purple-pass
766,Pipsissewa Trail,Eastern Washington,NR,NR,2.75 out of 5,(4 votes) Log in to rate,[],NR,48.7329,-118.9816,3,http://www.wta.org/go-hiking/hikes/pipsissewa
767,Precipice Top Trail,Issaquah Alps,NR,NR,3.25 out of 5,(4 votes) Log in to rate,[],NR,47.5429,-122.0804,9,http://www.wta.org/go-hiking/hikes/precipice-trail
768,Protector Trail,Issaquah Alps,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.5410,-122.0963,7,http://www.wta.org/go-hiking/hikes/protector-trail
769,Point Colville,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4327,-122.8223,3,http://www.wta.org/go-hiking/hikes/point-colville
770,Pipe Creek Loop Snowshoe,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.3311,-120.6112,9,http://www.wta.org/go-hiking/hikes/pipe-creek-loop
771,Mount Spokane State Park - Three Peaks Loop,Eastern Washington,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,47.9046,-117.1247,3,http://www.wta.org/go-hiking/hikes/three-peaks-loop
772,Teanaway Peak/Gene's Peak,Snoqualmie Region,NR,NR,3.00 out of 5,(4 votes) Log in to rate,[],NR,47.3892,-120.8725,10,http://www.wta.org/go-hiking/hikes/teanaway-peak-genes-peak
773,Liberty Lake Regional Park - Split Creek Trail,Eastern Washington,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,47.6311,-117.0586,38,http://www.wta.org/go-hiking/hikes/split-creek-trail
774,Trapper Lake,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/trapper-lake
775,Sunrise Peak,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/sunrise-peak-pasayten
776,Upper Dungeness River,Olympic Peninsula,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,47.8776,-123.1369,17,http://www.wta.org/go-hiking/hikes/upper-dungeness-river
777,Preacher Mountain,Snoqualmie Region,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/preacher-mountain
778,Tunnel Creek - Dosewallips Trailhead,Olympic Peninsula,NR,NR,5.00 out of 5,(3 votes) Log in to rate,[],NR,47.7389,-123.0736,24,http://www.wta.org/go-hiking/hikes/tunnel-creek-dosewallips-trailhead
779,Upright Head Preserve,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5688,-122.8846,1,http://www.wta.org/go-hiking/hikes/upright-head-preserve
780,Sherman Point Loop,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5852,-118.1412,2,http://www.wta.org/go-hiking/hikes/sherman-point-loop
781,Quartzite Mountain,Eastern Washington,NR,NR,4.00 out of 5,(2 votes) Log in to rate,[],NR,48.2738,-117.6562,9,http://www.wta.org/go-hiking/hikes/quartzite-mountain
782,Silver Falls State Park,Southwest Washington,NR,NR,5.00 out of 5,(2 votes) Log in to rate,[],NR,44.8777,-122.6556,7,http://www.wta.org/go-hiking/hikes/trail-of-ten-falls
783,Rainbow-McAlester Loop,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5076,-120.7310,3,http://www.wta.org/go-hiking/hikes/rainbow-mcalester-loop
784,Terrace Creek Park,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.7874,-122.2980,5,http://www.wta.org/go-hiking/hikes/terrace-creek-park
785,Ulalach Peak,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/ulalach-peak
786,Riverside State Park - Deep Creek Canyon,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.7539,-117.5508,14,http://www.wta.org/go-hiking/hikes/riverside-state-park-deep-creek-canyon
787,Silver Star Mountain (Okanogan),North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5500,-120.6306,2,http://www.wta.org/go-hiking/hikes/silver-star-mountain-okanogan
788,Twin Harbors State Park,Olympic Peninsula,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,3,http://www.wta.org/go-hiking/hikes/twin-harbors-state-park
789,Pulaski Tunnel Trail,Eastern Washington,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,47.4586,-115.9360,7,http://www.wta.org/go-hiking/hikes/pulaksi-tunnel-trail
790,Spruce Nature Trail (Hoh),Olympic Peninsula,NR,NR,3.50 out of 5,(4 votes) Log in to rate,[],NR,47.8536,-123.9512,17,http://www.wta.org/go-hiking/hikes/spruce-nature-trail-hoh
791,Spring Creek - Green Mountain,South Cascades,NR,NR,3.50 out of 5,(4 votes) Log in to rate,[],NR,46.3305,-121.5740,0,http://www.wta.org/go-hiking/hikes/spring-creek-green-mountain
792,Upper Twin Lake,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.8960,-120.8223,0,http://www.wta.org/go-hiking/hikes/upper-twin-lake
793,Terrace Mountain,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/terrace-mountain
794,Port of Skagit Trails,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4575,-122.4136,1,http://www.wta.org/go-hiking/hikes/port-of-skagit-nature-trails
795,Point Robinson Park,Puget Sound and Islands,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,47.3882,-122.3743,7,http://www.wta.org/go-hiking/hikes/point-robinson-park
796,Upper Stehekin Valley Road Trail,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.3807,-120.8403,6,http://www.wta.org/go-hiking/hikes/upper-stehekin-valley-road-trail
797,Tam O'Shanter - Viewpoint Open Space Trails,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.6244,-122.1077,3,http://www.wta.org/go-hiking/hikes/tam-oshanter-viewpoint-open-space-trails
798,Tin Can Gap,North Cascades,NR,NR,3.86 out of 5,(7 votes) Log in to rate,[],NR,48.1937,-121.7716,15,http://www.wta.org/go-hiking/hikes/tin-can-gap
799,Scotchman Peak,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,4,http://www.wta.org/go-hiking/hikes/scotchman-peak
800,Rainbow Falls Mist Trail,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.3422,-120.7013,2,http://www.wta.org/go-hiking/hikes/rainbow-falls-mist-trail
801,South Bay Trail,Puget Sound and Islands,NR,NR,4.00 out of 5,(4 votes) Log in to rate,[],NR,48.7255,-122.5051,7,http://www.wta.org/go-hiking/hikes/south-bay-trail
802,Rock Creek - Red Pass Loop,Snoqualmie Region,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.4454,-121.4235,4,http://www.wta.org/go-hiking/hikes/snow-lake-rock-creek-middle-fork-red-pass-commonwealth-basin-loop
803,Tucannon River - Rattlesnake Loop,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,46.1890,-117.6194,1,http://www.wta.org/go-hiking/hikes/tucannon-river-rattlesnake-loop
804,Table Mountain,North Cascades,NR,NR,4.33 out of 5,(9 votes) Log in to rate,[],NR,48.8468,-121.6926,91,http://www.wta.org/go-hiking/hikes/table-mountain
805,Rennie Peak,North Cascades,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/rennie-peak
806,Schmitz Preserve Park,Puget Sound and Islands,NR,NR,2.50 out of 5,(2 votes) Log in to rate,[],NR,47.5776,-122.4023,10,http://www.wta.org/go-hiking/hikes/schmitz-preserve-park
807,Ruston Way,Puget Sound and Islands,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,47.8665,-119.1980,13,http://www.wta.org/go-hiking/hikes/ruston-way
808,Suiattle River Trail,North Cascades,NR,NR,3.67 out of 5,(3 votes) Log in to rate,[],NR,48.2481,-121.1921,141,http://www.wta.org/go-hiking/hikes/suiattle-river-trail
809,South Fork Walla Walla River,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.8305,-118.1697,1,http://www.wta.org/go-hiking/hikes/south-fork-walla-walla-river
810,Sinlahekin Natural Area,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.7909,-119.6463,1,http://www.wta.org/go-hiking/hikes/sinlahekin-natural-area
811,Three Forks,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/three-forks-3133
812,Shinglemill Creek Preserve,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.4670,-122.4652,6,http://www.wta.org/go-hiking/hikes/shinglemill-creek-preserve
813,Trillium Community Forest Land,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.0501,-122.5679,1,http://www.wta.org/go-hiking/hikes/trillium-community-forest-land
814,South Skookum Lake Trail,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/south-skookum-lake-trail
815,Turn Point Lighthouse,Puget Sound and Islands,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,48.6765,-123.2045,0,http://www.wta.org/go-hiking/hikes/turn-point-lighthouse
816,Snowfield Peak,North Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/snowfield-peak
817,Ragged Ridge,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,NR,NR,1,http://www.wta.org/go-hiking/hikes/ragged-ridge
818,Rain Shadow Loop,Olympic Peninsula,NR,NR,4.00 out of 5,(3 votes) Log in to rate,[],NR,47.9546,-123.2594,9,http://www.wta.org/go-hiking/hikes/rain-shadow-loop
819,Siouxson Creek and Chinook Falls,South Cascades,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,45.9430,-122.1854,4,http://www.wta.org/go-hiking/hikes/siouxson-creek-and-chinook-falls
820,Tucannon Trail,Eastern Washington,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,46.1887,-117.6185,3,http://www.wta.org/go-hiking/hikes/tucannon-trail-3135
821,Umtanum Ridge Crest,Central Washington,NR,NR,3.17 out of 5,(6 votes) Log in to rate,[],NR,46.8996,-120.6435,86,http://www.wta.org/go-hiking/hikes/umtanum-ridge-crest
822,Union Bay Nature Area,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.6580,-122.2906,7,http://www.wta.org/go-hiking/hikes/union-bay-nature-area
823,Breazeale Interpretive Center,Puget Sound and Islands,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,48.4837,-122.4777,5,http://www.wta.org/go-hiking/hikes/upland-trail-breazeale-interpretive-center
824,Upper Lena Lake,Olympic Peninsula,NR,NR,4.16 out of 5,(19 votes) Log in to rate,[],NR,47.6009,-123.1456,138,http://www.wta.org/go-hiking/hikes/upper-lena-lake
825,Union Peak,Central Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.8112,-121.0826,8,http://www.wta.org/go-hiking/hikes/union-peak
